abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
68209,0.008526125,5,250,1
68459,0.008557375,6,250,1
68709,0.008588625,7,250,1
68959,0.008619875,0,250,1
69209,0.008651125,1,250,1
69459,0.008682375,2,250,1
69709,0.008713625,3,250,1
69959,0.008744875,4,250,1
70209,0.008776125,5,248,1
70457,0.008807125,6,250,1
70707,0.008838375,7,250,1
70957,0.008869625,0,250,1
71207,0.008900875,1,250,1
71457,0.008932125,2,250,1
71707,0.008963375,3,250,1
71957,0.008994625,4,250,1
72207,0.009025875,5,250,1
72457,0.009057125,6,250,1
72707,0.009088375,7,250,1
72957,0.009119625,0,250,1
73207,0.009150875,1,250,1
73457,0.009182125,2,250,1
73707,0.009213375,3,250,1
73957,0.009244625,4,250,1
74207,0.009275875,5,250,1
74457,0.009307125,6,250,1
74707,0.009338375,7,250,1
74957,0.009369625,0,248,1
75205,0.009400625,1,250,1
75455,0.009431875,2,250,1
75705,0.009463125,3,250,1
75955,0.009494375,4,250,1
76205,0.009525625,5,250,1
76455,0.009556875,6,250,1
76705,0.009588125,7,250,1
76955,0.009619375,0,250,1
77205,0.009650625,1,250,1
77455,0.009681875,2,250,1
77705,0.009713125,3,250,1
77955,0.009744375,4,250,1
78205,0.009775625,5,250,1
78455,0.009806875,6,250,1
78705,0.009838125,7,250,1
78955,0.009869375,0,250,1
79205,0.009900625,1,250,1
79455,0.009931875,2,250,1
79705,0.009963125,3,248,1
79953,0.009994125,4,250,1
80203,0.010025375,5,250,1
80453,0.010056625,6,250,1
80703,0.010087875,7,250,1
80953,0.010119125,0,250,1
81203,0.010150375,1,250,1
81453,0.010181625,2,250,1
81703,0.010212875,3,250,1
81953,0.010244125,4,250,1
82203,0.010275375,5,250,1
82453,0.010306625,6,250,1
82703,0.010337875,7,250,1
82953,0.010369125,0,250,1
83203,0.010400375,1,250,1
83453,0.010431625,2,250,1
83703,0.010462875,3,250,1
83953,0.010494125,4,250,1
84203,0.010525375,5,250,1
84453,0.010556625,6,250,1
84703,0.010587875,7,248,1
84951,0.010618875,0,250,1
85201,0.010650125,1,250,1
85451,0.010681375,2,250,1
85701,0.010712625,3,250,1
85951,0.010743875,4,250,1
86201,0.010775125,5,250,1
86451,0.010806375,6,250,1
86701,0.010837625,7,250,1
86951,0.010868875,0,250,1
87201,0.010900125,1,250,1
87451,0.010931375,2,250,1
87701,0.010962625,3,250,1
87951,0.010993875,4,250,1
88201,0.011025125,5,250,1
88451,0.011056375,6,250,1
88701,0.011087625,7,250,1
88951,0.011118875,0,250,1
89201,0.011150125,1,250,1
89451,0.011181375,2,248,1
89699,0.011212375,3,250,1
89949,0.011243625,4,250,1
90199,0.011274875,5,250,1
90449,0.011306125,6,250,1
90699,0.011337375,7,250,1
90949,0.011368625,0,250,1
91199,0.011399875,1,250,1
91449,0.011431125,2,250,1
91699,0.011462375,3,250,1
91949,0.011493625,4,250,1
92199,0.011524875,5,250,1
92449,0.011556125,6,250,1
92699,0.011587375,7,250,1
92949,0.011618625,0,250,1
93199,0.011649875,1,250,1
93449,0.011681125,2,250,1
93699,0.011712375,3,250,1
93949,0.011743625,4,250,1
94199,0.011774875,5,248,1
94447,0.011805875,6,250,1
94697,0.011837125,7,250,1
94947,0.011868375,0,250,1
95197,0.011899625,1,250,1
95447,0.011930875,2,250,1
95697,0.011962125,3,250,1
95947,0.011993375,4,250,1
96197,0.012024625,5,250,1
96447,0.012055875,6,250,1
96697,0.012087125,7,250,1
96947,0.012118375,0,250,1
97197,0.012149625,1,250,1
97447,0.012180875,2,250,1
97697,0.012212125,3,250,1
97947,0.012243375,4,250,1
98197,0.012274625,5,250,1
98447,0.012305875,6,250,1
98697,0.012337125,7,250,1
98947,0.012368375,0,248,1
99195,0.012399375,1,250,1
99445,0.012430625,2,250,1
99695,0.012461875,3,250,1
99945,0.012493125,4,250,1
100195,0.012524375,5,250,1
100445,0.012555625,6,250,1
100695,0.012586875,7,250,1
100945,0.012618125,0,250,1
101195,0.012649375,1,250,1
101445,0.012680625,2,250,1
101695,0.012711875,3,250,1
101945,0.012743125,4,250,1
102195,0.012774375,5,250,1
102445,0.012805625,6,250,1
102695,0.012836875,7,250,1
102945,0.012868125,0,250,1
103195,0.012899375,1,250,1
103445,0.012930625,2,250,1
103695,0.012961875,3,248,1
103943,0.012992875,4,250,1
104193,0.013024125,5,250,1
104443,0.013055375,6,250,1
104693,0.013086625,7,250,1
104943,0.013117875,0,250,1
105193,0.013149125,1,250,1
105443,0.013180375,2,250,1
105693,0.013211625,3,250,1
105943,0.013242875,4,250,1
106193,0.013274125,5,250,1
106443,0.013305375,6,250,1
106693,0.013336625,7,250,1
106943,0.013367875,0,250,1
